brand,currency,price,colors,name,sizes,categories
vans,usd,38.99,red,vans mens era 59 leopard sneakers,6,"clothing,shoes,men's shoes,all men's shoes"
wrangler,usd,16.99,brown,new nwt mens black wrangler 13mwz cowboy original jeans 42 x 32,5,"clothing, shoes & accessories,men's clothing,jeans"
onguard,usd,21.79,white,"onguard size 6 steel toe knee boots, men's, white, 810120633",12,"home improvement,men's work & safety shoes,work safety clothing and equipment"
vonzipper,aud,129,black satin,vonzipper speedtuck sunglasses black satin grey smsf5spe-bks,12,"clothing, shoes, accessories,men's sunglasses"
nike,usd,39.99,black,new nike alpha pro 2 3/4 d football cleats mens 8.5 black white 705409 010.,8.5,"football,clothing, shoes & accessories,team sports,men,shoes & cleats,sporting goods"
nike,usd,49.99,black,new nike alpha pro 2 3/4 d football cleats mens 8.5 black white 705409 010.,8.5,"football,clothing, shoes & accessories,team sports,men,shoes & cleats,sporting goods"
reebok,usd,59.9,sharkcadmiumwhiteblack,reebok gl2620 men's shoes size,"11.5,11,12","men's casual shoes,shoes,men's shoes,clothing"
qzunique,usd,81,grey,qzunique men's novelty black hooded pullover sweatshirt black hoodie,"medium,large","novelty,hoodies,men,novelty & more,clothing, shoes & jewelry,clothing"
qzunique,usd,32.4,brown,qzunique men's novelty black hooded pullover sweatshirt black hoodie,"medium,large","novelty,hoodies,men,novelty & more,clothing, shoes & jewelry,clothing"
california costume,usd,30.47,multi-color,cutthroat pirate adult men buccaneer r halloween costume,"l,xl","party & occasions,halloween,all costumes,adult halloween costumes,men's halloween costumes,#37662 in,#11998 in,#9810 in,clothing, shoes & accessories,classics,men,holiday shops,costumes, reenactment, theater,halloween store,mens costumes,costumes"
california costume,usd,39.99,multi-color,cutthroat pirate adult men buccaneer r halloween costume,"l,xl","party & occasions,halloween,all costumes,adult halloween costumes,men's halloween costumes,#37662 in,#11998 in,#9810 in,clothing, shoes & accessories,classics,men,holiday shops,costumes, reenactment, theater,halloween store,mens costumes,costumes"
california costume,usd,29,multi-color,cutthroat pirate adult men buccaneer r halloween costume,"l,xl","party & occasions,halloween,all costumes,adult halloween costumes,men's halloween costumes,#37662 in,#11998 in,#9810 in,clothing, shoes & accessories,classics,men,holiday shops,costumes, reenactment, theater,halloween store,mens costumes,costumes"
tommy hilfiger,usd,70,green,tommy hilfiger bowman men  moc toe leather gray boat shoe,4,"clothing,shoes,men's shoes,men's dress shoes"
tommy hilfiger,usd,55.99,green,tommy hilfiger bowman men  moc toe leather gray boat shoe,10,"clothing,shoes,men's shoes,men's dress shoes"
peterluckyi,usd,29.99,coffee,fashion canvas men's briefcase business laptop handbag shoulder messenger bag,10,"clothing, shoes & accessories,men's accessories,backpacks, bags & briefcases"
geox,usd,149.99,black,geox men's u xense moc a black leather slip on moccasins (eu 44 us 11),10,"all men's shoes,shoes,men's shoes,clothing"
toms,usd,48,white,toms classics   round toe canvas  loafer,"10.5,10,9.5,11.5,11","men's casual shoes,shoes,men's shoes,clothing"
toms,usd,21.99,white,toms classics   round toe canvas  loafer,"10.5,10,9.5,11.5,11","men's casual shoes,shoes,men's shoes,clothing"
carrera,usd,87.75,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,9,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,72,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,12,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,82.24,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,7,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,69.45,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,8,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,137.68,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,11,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,86.83,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,9,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,60.5,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,10,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,85.03,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,12,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,85.05,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,8,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,87.6,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,4,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,149,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,12,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,69.94,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,12,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,71.55,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,7,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,72.6,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,4,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,72.08,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,7,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,69.7,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,3,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,82.23,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,5,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,149,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,6,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,69.2,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,4,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,86.83,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,10,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
carrera,usd,84.89,"matte black,matte ruthenium,light gold,semi metallic brown",carrera 90/s sunglasses,4,"sunglasses,accessories,men,contemporary & designer,clothing, shoes & jewelry,sunglasses & eyewear accessories,clothing"
